非：├─ 车辆轨迹点  carid:12032 | 里程:1122682 | 时间：2025-03-21 22:11:25:398 | 车牌: 鄂EAB7812 (颜色:4) | 坐标: 114.04415130615234,30.92347526550293 | 速度: 55.0 km/h | 车道: 1 | 方向: 1 | 桩号: K1122+682.5 | 航向角: 173.86281
非：├─ 车辆轨迹点  carid:12034 | 里程:1122526 | 时间：2025-03-21 22:11:33:963 | 车牌: 鄂BS51N5 (颜色:5) | 坐标: 114.04399108886719,30.924861907958984 | 速度: 54.0 km/h | 车道: 3 | 方向: 2 | 桩号: K1122+526 | 航向角: 355.9585
非：├─ 车辆轨迹点  carid:12035 | 里程:1122374 | 时间：2025-03-21 22:11:33:963 | 车牌: 鄂EA813K (颜色:0) | 坐标: 114.04387664794922,30.92622947692871 | 速度: 59.0 km/h | 车道: 4 | 方向: 2 | 桩号: K1122+374 | 航向角: 358.96964
非：├─ 车辆轨迹点  carid:12038 | 里程:1122212 | 时间：2025-03-21 22:11:33:963 | 车牌: 鄂A6662L (颜色:0) | 坐标: 114.04386138916016,30.92769432067871 | 速度: 47.0 km/h | 车道: 1 | 方向: 1 | 桩号: K1122+212 | 航向角: 173.87538
非：├─ 车辆轨迹点  carid:12039 | 里程:1122505 | 时间：2025-03-21 22:11:33:963 | 车牌: 鄂E8AF67 (颜色:0) | 坐标: 114.0439682006836,30.925045013427734 | 速度: 57.0 km/h | 车道: 2 | 方向: 1 | 桩号: K1122+505.5 | 航向角: 173.98659
非：├─ 车辆轨迹点  carid:12040 | 里程:1122984 | 时间：2025-03-21 22:11:33:963 | 车牌: 鄂A8YG19 (颜色:5) | 坐标: 114.04454040527344,30.920753479003906 | 速度: 49.0 km/h | 车道: 3 | 方向: 2 | 桩号: K1122+984.5 | 航向角: 353.88348
非：├─ 车辆轨迹点  carid:12041 | 里程:1122187 | 时间：2025-03-21 22:11:33:963 | 车牌: 鄂B74867 (颜色:2) | 坐标: 114.04386901855469,30.927919387817383 | 速度: 41.0 km/h | 车道: 4 | 方向: 2 | 桩号: K1122+187 | 航向角: 353.90604
非：├─ 车辆轨迹点  carid:12044 | 里程:1122011 | 时间：2025-03-21 22:11:33:963 | 车牌: 鄂B2AC11 (颜色:1) | 坐标: 114.04389953613281,30.928619384765625 | 速度: 49.0 km/h | 车道: 1 | 方向: 1 | 桩号: K1122+11.5 | 航向角: 173.82646
非：├─ 车辆轨迹点  carid:12045 | 里程:1122044 | 时间：2025-03-21 22:11:33:963 | 车牌: 鄂A77445 (颜色:1) | 坐标: 114.04391479492188,30.92564582824707 | 速度: 51.0 km/h | 车道: 2 | 方向: 1 | 桩号: K1122+44 | 航向角: 173.75026
非：├─ 车辆轨迹点  carid:12046 | 里程:1122248 | 时间：2025-03-21 22:11:33:963 | 车牌: 鄂E5C1627 (颜色:4) | 坐标: 114.04397583007812,30.929391860961914 | 速度: 49.0 km/h | 车道: 3 | 方向: 2 | 桩号: K1122+248.5 | 航向角: 353.62152
非：├─ 车辆轨迹点  carid:12047 | 里程:1122257 | 时间：2025-03-21 22:11:33:963 | 车牌: 鄂EE90L0 (颜色:0) | 坐标: 114.04386138916016,30.927288055419922 | 速度: 85.0 km/h | 车道: 4 | 方向: 2 | 桩号: K1122+257 | 航向角: 353.7183
非：├─ 车辆轨迹点  carid:12050 | 里程:1122779 | 时间：2025-03-21 22:11:33:963 | 车牌: 鄂BSX942 (颜色:0) | 坐标: 114.04428100585938,30.9226016998291 | 速度: 52.0 km/h | 车道: 1 | 方向: 1 | 桩号: K1122+779 | 航向角: 174.00981
非：├─ 车辆轨迹点  carid:12051 | 里程:1122687 | 时间：2025-03-21 22:11:33:963 | 车牌: 鄂E2YZ20 (颜色:0) | 坐标: 114.04415893554688,30.923416137695312 | 速度: 47.0 km/h | 车道: 2 | 方向: 1 | 桩号: K1122+687 | 航向角: 174.15344
非：├─ 车辆轨迹点  carid:12052 | 里程:1122514 | 时间：2025-03-21 22:11:33:963 | 车牌: 鄂B854VC (颜色:5) | 坐标: 114.04398345947266,30.924964904785156 | 速度: 49.0 km/h | 车道: 3 | 方向: 2 | 桩号: K1122+514.5 | 航向角: 354.01288
非：├─ 车辆轨迹点  carid:12053 | 里程:1122359 | 时间：2025-03-21 22:11:33:963 | 车牌: 鄂E8NQX6 (颜色:9) | 坐标: 114.04387664794922,30.92637062072754 | 速度: 58.0 km/h | 车道: 4 | 方向: 2 | 桩号: K1122+359.5 | 航向角: 353.8112
非：├─ 车辆轨迹点  carid:12056 | 里程:1122422 | 时间：2025-03-21 22:11:33:963 | 车牌: 鄂A1NHA0 (颜色:0) | 坐标: 114.04390716552734,30.925798416137695 | 速度: 46.0 km/h | 车道: 1 | 方向: 1 | 桩号: K1122+422 | 航向角: 177.83687
非：├─ 车辆轨迹点  carid:12057 | 里程:1122524 | 时间：2025-03-21 22:11:33:963 | 车牌: 鄂E587U0 (颜色:1) | 坐标: 114.04399108886719,30.92487907409668 | 速度: 55.0 km/h | 车道: 2 | 方向: 1 | 桩号: K1122+524 | 航向角: 175.95209
非：├─ 车辆轨迹点  carid:12058 | 里程:1122713 | 时间：2025-03-21 22:11:33:963 | 车牌: 鄂ETXHH2 (颜色:1) | 坐标: 114.04419708251953,30.923179626464844 | 速度: 56.0 km/h | 车道: 3 | 方向: 2 | 桩号: K1122+713.5 | 航向角: 353.76215
非：├─ 车辆轨迹点  carid:12059 | 里程:1122880 | 时间：2025-03-21 22:11:33:963 | 车牌: 鄂BRR4T74 (颜色:4) | 坐标: 114.0444107055664,30.921688079833984 | 速度: 42.0 km/h | 车道: 4 | 方向: 2 | 桩号: K1122+880 | 航向角: 353.96866
非：├─ 车辆轨迹点  carid:12062 | 里程:1122192 | 时间：2025-03-21 22:11:33:963 | 车牌: 鄂BQ39606 (颜色:4) | 坐标: 114.04386901855469,30.92786979675293 | 速度: 51.0 km/h | 车道: 1 | 方向: 1 | 桩号: K1122+192.5 | 航向角: 182.30254
非：├─ 车辆轨迹点  carid:12063 | 里程:1122142 | 时间：2025-03-21 22:11:33:963 | 车牌: 鄂BV7480J (颜色:4) | 坐标: 114.04388427734375,30.928325653076172 | 速度: 43.0 km/h | 车道: 2 | 方向: 1 | 桩号: K1122+142 | 航向角: 183.71414
非：├─ 车辆轨迹点  carid:12064 | 里程:1123040 | 时间：2025-03-21 22:11:33:963 | 车牌: 鄂BH7T3G (颜色:0) | 坐标: 114.04632568359375,30.908071517944336 | 速度: 54.0 km/h | 车道: 3 | 方向: 2 | 桩号: K1123+40 | 航向角: 353.9293
非：├─ 车辆轨迹点  carid:12065 | 里程:1123090 | 时间：2025-03-21 22:11:33:963 | 车牌: 鄂A0007K (颜色:0) | 坐标: 114.04650115966797,30.9035701751709 | 速度: 46.0 km/h | 车道: 4 | 方向: 2 | 桩号: K1123+90 | 航向角: 353.98544
非：├─ 车辆轨迹点  carid:12068 | 里程:1121908 | 时间：2025-03-21 22:11:33:963 | 车牌: 鄂AN336Y (颜色:0) | 坐标: 114.04409790039062,30.93041229248047 | 速度: 54.0 km/h | 车道: 1 | 方向: 1 | 桩号: K1121+908 | 航向角: 188.57423
非：├─ 车辆轨迹点  carid:12069 | 里程:1121908 | 时间：2025-03-21 22:11:33:963 | 车牌: 鄂B4V9R6 (颜色:0) | 坐标: 114.04409790039062,30.930408477783203 | 速度: 55.0 km/h | 车道: 2 | 方向: 1 | 桩号: K1121+908.5 | 航向角: 188.57051
非：├─ 车辆轨迹点  carid:12070 | 里程:1123349 | 时间：2025-03-21 22:11:33:963 | 车牌: 鄂BI0J01 (颜色:11) | 坐标: 114.04627990722656,30.908523559570312 | 速度: 41.0 km/h | 车道: 3 | 方向: 2 | 桩号: K1123+349.5 | 航向角: 355.09314
非：├─ 车辆轨迹点  carid:12071 | 里程:1123342 | 时间：2025-03-21 22:11:33:963 | 车牌: 鄂BF3WJ6 (颜色:0) | 坐标: 114.04627227783203,30.90858268737793 | 速度: 55.0 km/h | 车道: 4 | 方向: 2 | 桩号: K1123+342 | 航向角: 354.9844

非：├─ 车辆轨迹点  carid:11871 | 里程:0 | 时间：2025-03-21 22:11:33:963 | 车牌: 鄂B0JOJ2 (颜色:0) | 坐标: 114.03475,30.854921 | 速度: 42.0 km/h | 车道: 0 | 方向: 0 | 桩号: K1126+524.5 | 航向角: 175.9646
非：├─ 车辆轨迹点  carid:11877 | 里程:0 | 时间：2025-03-21 22:11:33:963 | 车牌: 鄂ABZ116 (颜色:0) | 坐标: 114.03469,30.855532 | 速度: 44.0 km/h | 车道: 0 | 方向: 0 | 桩号: K1126+524.5 | 航向角: 176.75636
非：├─ 车辆轨迹点  carid:11883 | 里程:0 | 时间：2025-03-21 22:11:33:963 | 车牌: 鄂B0826O (颜色:0) | 坐标: 114.03465,30.856106 | 速度: 60.0 km/h | 车道: 0 | 方向: 0 | 桩号: K1126+524.5 | 航向角: 177.83011
非：├─ 车辆轨迹点  carid:11888 | 里程:0 | 时间：2025-03-21 22:11:33:963 | 车牌: 鄂ETGW34 (颜色:0) | 坐标: 114.03567,30.849031 | 速度: 79.0 km/h | 车道: 0 | 方向: 0 | 桩号: K1126+524.5 | 航向角: 171.11234
非：├─ 车辆轨迹点  carid:11889 | 里程:0 | 时间：2025-03-21 22:11:33:963 | 车牌: 鄂AKB7A4 (颜色:0) | 坐标: 114.03462,30.85669 | 速度: 64.0 km/h | 车道: 0 | 方向: 0 | 桩号: K1126+524.5 | 航向角: 178.63513
非：├─ 车辆轨迹点  carid:11894 | 里程:0 | 时间：2025-03-21 22:11:33:963 | 车牌: 鄂B6N027 (颜色:1) | 坐标: 114.035515,30.84981 | 速度: 45.0 km/h | 车道: 0 | 方向: 0 | 桩号: K1126+524.5 | 航向角: 171.55815
非：├─ 车辆轨迹点  carid:11895 | 里程:0 | 时间：2025-03-21 22:11:33:963 | 车牌: 鄂AKIT4L (颜色:6) | 坐标: 114.0346,30.857323 | 速度: 62.0 km/h | 车道: 0 | 方向: 0 | 桩号: K1126+524.5 | 航向角: 179.5597
非：├─ 车辆轨迹点  carid:11900 | 里程:0 | 时间：2025-03-21 22:11:33:963 | 车牌: 鄂AFI30V (颜色:3) | 坐标: 114.03541,30.850382 | 速度: 58.0 km/h | 车道: 0 | 方向: 0 | 桩号: K1126+524.5 | 航向角: 171.2278
非：├─ 车辆轨迹点  carid:11901 | 里程:0 | 时间：2025-03-21 22:11:33:963 | 车牌: 鄂BJ1H40 (颜色:0) | 坐标: 114.034584,30.857943 | 速度: 52.0 km/h | 车道: 0 | 方向: 0 | 桩号: K1126+524.5 | 航向角: 180.38388
非：├─ 车辆轨迹点  carid:11906 | 里程:0 | 时间：2025-03-21 22:11:33:963 | 车牌: 鄂B247T06 (颜色:4) | 坐标: 114.03456,30.85709 | 速度: 63.0 km/h | 车道: 0 | 方向: 0 | 桩号: K1126+524.5 | 航向角: 179.12404
非：├─ 车辆轨迹点  carid:11907 | 里程:0 | 时间：2025-03-21 22:11:33:963 | 车牌: 鄂E22AY6 (颜色:2) | 坐标: 114.03485,30.862715 | 速度: 48.0 km/h | 车道: 0 | 方向: 0 | 桩号: K1126+524.5 | 航向角: 187.03828
非：├─ 车辆轨迹点  carid:11912 | 里程:0 | 时间：2025-03-21 22:11:33:963 | 车牌: 鄂AB5985 (颜色:0) | 坐标: 114.034546,30.857813 | 速度: 60.0 km/h | 车道: 0 | 方向: 0 | 桩号: K1126+524.5 | 航向角: 180.09433
非：├─ 车辆轨迹点  carid:11913 | 里程:1126524 | 时间：2025-03-21 22:11:33:963 | 车牌: 鄂AC3115 (颜色:9) | 坐标: 114.04149627685547,30.884706497192383 | 速度: 61.0 km/h | 车道: 2 | 方向: 1 | 桩号: K1126+524.5 | 航向角: 188.03912
非：├─ 车辆轨迹点  carid:11918 | 里程:0 | 时间：2025-03-21 22:11:33:963 | 车牌: 鄂AIO3F5 (颜色:5) | 坐标: 114.03454,30.858398 | 速度: 58.0 km/h | 车道: 0 | 方向: 0 | 桩号: K1126+524.5 | 航向角: 180.964
非：├─ 车辆轨迹点  carid:11919 | 里程:1126524 | 时间：2025-03-21 22:11:33:963 | 车牌: 鄂E875SF (颜色:0) | 坐标: 114.04149627685547,30.884706497192383 | 速度: 54.0 km/h | 车道: 2 | 方向: 1 | 桩号: K1126+524.5 | 航向角: 188.82089
非：├─ 车辆轨迹点  carid:11924 | 里程:1126524 | 时间：2025-03-21 22:11:33:963 | 车牌: 鄂E04M44 (颜色:1) | 坐标: 114.04149627685547,30.884706497192383 | 速度: 41.0 km/h | 车道: 2 | 方向: 1 | 桩号: K1126+524.5 | 航向角: 194.15326
非：├─ 车辆轨迹点  carid:11925 | 里程:1126524 | 时间：2025-03-21 22:11:33:963 | 车牌: 鄂B88G9M (颜色:1) | 坐标: 114.04149627685547,30.884706497192383 | 速度: 48.0 km/h | 车道: 2 | 方向: 1 | 桩号: K1126+524.5 | 航向角: 197.29768
非：├─ 车辆轨迹点  carid:11930 | 里程:1126524 | 时间：2025-03-21 22:11:33:963 | 车牌: 鄂B91727 (颜色:0) | 坐标: 114.04149627685547,30.884706497192383 | 速度: 55.0 km/h | 车道: 2 | 方向: 1 | 桩号: K1126+524.5 | 航向角: 195.1454
非：├─ 车辆轨迹点  carid:11931 | 里程:1126524 | 时间：2025-03-21 22:11:33:963 | 车牌: 鄂EA8U86 (颜色:0) | 坐标: 114.04149627685547,30.884706497192383 | 速度: 50.0 km/h | 车道: 2 | 方向: 1 | 桩号: K1126+524.5 | 航向角: 197.54059
非：├─ 车辆轨迹点  carid:11936 | 里程:1126524 | 时间：2025-03-21 22:11:33:963 | 车牌: 鄂AK9197 (颜色:6) | 坐标: 114.04149627685547,30.884706497192383 | 速度: 55.0 km/h | 车道: 1 | 方向: 1 | 桩号: K1126+524.5 | 航向角: 196.75734
非：├─ 车辆轨迹点  carid:11937 | 里程:1126524 | 时间：2025-03-21 22:11:33:963 | 车牌: 鄂E65P05 (颜色:0) | 坐标: 114.04149627685547,30.884706497192383 | 速度: 55.0 km/h | 车道: 2 | 方向: 1 | 桩号: K1126+524.5 | 航向角: 197.47443
非：├─ 车辆轨迹点  carid:11942 | 里程:1126524 | 时间：2025-03-21 22:11:33:963 | 车牌: 鄂A8299Y (颜色:1) | 坐标: 114.04149627685547,30.884706497192383 | 速度: 58.0 km/h | 车道: 1 | 方向: 1 | 桩号: K1126+524.5 | 航向角: 197.30463
非：├─ 车辆轨迹点  carid:11943 | 里程:1126524 | 时间：2025-03-21 22:11:33:963 | 车牌: 鄂BP93N5 (颜色:1) | 坐标: 114.04149627685547,30.884706497192383 | 速度: 41.0 km/h | 车道: 2 | 方向: 1 | 桩号: K1126+524.5 | 航向角: 197.33931
非：├─ 车辆轨迹点  carid:11948 | 里程:1126524 | 时间：2025-03-21 22:11:33:963 | 车牌: 鄂B3C588 (颜色:0) | 坐标: 114.04149627685547,30.884706497192383 | 速度: 51.0 km/h | 车道: 1 | 方向: 1 | 桩号: K1126+524.5 | 航向角: 197.44089
非：├─ 车辆轨迹点  carid:11949 | 里程:1126524 | 时间：2025-03-21 22:11:33:963 | 车牌: 鄂B16489 (颜色:1) | 坐标: 114.04149627685547,30.884706497192383 | 速度: 48.0 km/h | 车道: 2 | 方向: 1 | 桩号: K1126+524.5 | 航向角: 197.30464
非：├─ 车辆轨迹点  carid:11954 | 里程:1126394 | 时间：2025-03-21 22:11:33:963 | 车牌: 鄂BLUBUT (颜色:2) | 坐标: 114.04048919677734,30.881752014160156 | 速度: 63.0 km/h | 车道: 1 | 方向: 1 | 桩号: K1126+394 | 航向角: 197.42842
非：├─ 车辆轨迹点  carid:11955 | 里程:1126524 | 时间：2025-03-21 22:11:33:963 | 车牌: 京E42295C (颜色:4) | 坐标: 114.04149627685547,30.884706497192383 | 速度: 46.0 km/h | 车道: 2 | 方向: 1 | 桩号: K1126+524.5 | 航向角: 197.4369
非：├─ 车辆轨迹点  carid:11960 | 里程:1126313 | 时间：2025-03-21 22:11:33:963 | 车牌: 鄂ED2L3N (颜色:5) | 坐标: 114.04072570800781,30.882448196411133 | 速度: 74.0 km/h | 车道: 1 | 方向: 1 | 桩号: K1126+313.5 | 航向角: 197.30331
非：├─ 车辆轨迹点  carid:11961 | 里程:1126462 | 时间：2025-03-21 22:11:33:963 | 车牌: 京EL18733 (颜色:4) | 坐标: 114.040283203125,30.88115882873535 | 速度: 50.0 km/h | 车道: 2 | 方向: 1 | 桩号: K1126+462.5 | 航向角: 197.5473
非：├─ 车辆轨迹点  carid:11966 | 里程:1126247 | 时间：2025-03-21 22:11:33:963 | 车牌: 鄂B4G27K (颜色:0) | 坐标: 114.04092407226562,30.883028030395508 | 速度: 56.0 km/h | 车道: 1 | 方向: 1 | 桩号: K1126+247.5 | 航向角: 197.43373
非：├─ 车辆轨迹点  carid:11967 | 里程:1126397 | 时间：2025-03-21 22:11:33:963 | 车牌: 鄂B4Z535W (颜色:4) | 坐标: 114.04154205322266,30.884849548339844 | 速度: 58.0 km/h | 车道: 2 | 方向: 1 | 桩号: K1126+397 | 航向角: 197.42828
非：├─ 车辆轨迹点  carid:11972 | 里程:1125747 | 时间：2025-03-21 22:11:33:963 | 车牌: 豫B16VN6L (颜色:4) | 坐标: 114.04239654541016,30.887353897094727 | 速度: 54.0 km/h | 车道: 1 | 方向: 1 | 桩号: K1125+747.5 | 航向角: 197.38399
非：├─ 车辆轨迹点  carid:11973 | 里程:1126103 | 时间：2025-03-21 22:11:33:963 | 车牌: 鄂B3X33A (颜色:5) | 坐标: 114.04134368896484,30.884265899658203 | 速度: 58.0 km/h | 车道: 2 | 方向: 1 | 桩号: K1126+103.5 | 航向角: 197.53664
非：├─ 车辆轨迹点  carid:11976 | 里程:1125450 | 时间：2025-03-21 22:11:33:963 | 车牌: 鄂EU695J (颜色:0) | 坐标: 114.04327392578125,30.889921188354492 | 速度: 49.0 km/h | 车道: 1 | 方向: 1 | 桩号: K1125+450 | 航向角: 197.35928
非：├─ 车辆轨迹点  carid:11978 | 里程:1125314 | 时间：2025-03-21 22:11:33:963 | 车牌: 鄂A5E9H0 (颜色:0) | 坐标: 114.0436782836914,30.891098022460938 | 速度: 49.0 km/h | 车道: 1 | 方向: 1 | 桩号: K1125+314 | 航向角: 197.3157
非：├─ 车辆轨迹点  carid:11979 | 里程:1125492 | 时间：2025-03-21 22:11:33:963 | 车牌: 鄂B7619Q (颜色:0) | 坐标: 114.04315185546875,30.889556884765625 | 速度: 62.0 km/h | 车道: 2 | 方向: 1 | 桩号: K1125+492 | 航向角: 197.3909
非：├─ 车辆轨迹点  carid:11984 | 里程:1125246 | 时间：2025-03-21 22:11:33:963 | 车牌: 鄂ALL315 (颜色:2) | 坐标: 114.04454040527344,30.893632888793945 | 速度: 72.0 km/h | 车道: 1 | 方向: 1 | 桩号: K1125+246 | 航向角: 197.27966
非：├─ 车辆轨迹点  carid:11985 | 里程:1125426 | 时间：2025-03-21 22:11:33:963 | 车牌: 鄂A7VR71 (颜色:9) | 坐标: 114.04448699951172,30.89347267150879 | 速度: 58.0 km/h | 车道: 2 | 方向: 1 | 桩号: K1125+426.5 | 航向角: 197.3738
非：├─ 车辆轨迹点  carid:11990 | 里程:1125171 | 时间：2025-03-21 22:11:33:963 | 车牌: 鄂EZRC7R (颜色:6) | 坐标: 114.04409790039062,30.892330169677734 | 速度: 59.0 km/h | 车道: 1 | 方向: 1 | 桩号: K1125+171.5 | 航向角: 197.38731
非：├─ 车辆轨迹点  carid:11991 | 里程:1124118 | 时间：2025-03-21 22:11:33:963 | 车牌: 鄂E0GE61 (颜色:1) | 坐标: 114.04637145996094,30.901609420776367 | 速度: 48.0 km/h | 车道: 2 | 方向: 1 | 桩号: K1124+118 | 航向角: 185.83821
非：├─ 车辆轨迹点  carid:11996 | 里程:1124364 | 时间：2025-03-21 22:11:33:963 | 车牌: 鄂AAD5A6 (颜色:0) | 坐标: 114.04606628417969,30.89940071105957 | 速度: 51.0 km/h | 车道: 1 | 方向: 1 | 桩号: K1124+364 | 航向角: 189.32343
非：├─ 车辆轨迹点  carid:11997 | 里程:1124051 | 时间：2025-03-21 22:11:33:963 | 车牌: 鄂A91LTW (颜色:0) | 坐标: 114.04582214355469,30.89811134338379 | 速度: 61.0 km/h | 车道: 2 | 方向: 1 | 桩号: K1124+51 | 航向角: 184.71979
非：├─ 车辆轨迹点  carid:12002 | 里程:1124265 | 时间：2025-03-21 22:11:33:963 | 车牌: 鄂B40441 (颜色:0) | 坐标: 114.04620361328125,30.900283813476562 | 速度: 55.0 km/h | 车道: 1 | 方向: 1 | 桩号: K1124+265 | 航向角: 187.9533
非：├─ 车辆轨迹点  carid:12003 | 里程:1123980 | 时间：2025-03-21 22:11:33:963 | 车牌: 鄂B2979T (颜色:6) | 坐标: 114.04646301269531,30.902841567993164 | 速度: 50.0 km/h | 车道: 2 | 方向: 1 | 桩号: K1123+980 | 航向角: 183.78572
非：├─ 车辆轨迹点  carid:12008 | 里程:1123827 | 时间：2025-03-21 22:11:33:963 | 车牌: 鄂EUYY8L (颜色:0) | 坐标: 114.04651641845703,30.90422821044922 | 速度: 48.0 km/h | 车道: 1 | 方向: 1 | 桩号: K1123+827 | 航向角: 181.80374
非：├─ 车辆轨迹点  carid:12009 | 里程:1123300 | 时间：2025-03-21 22:11:33:963 | 车牌: 鄂E584G8 (颜色:3) | 坐标: 114.04623413085938,30.90895652770996 | 速度: 42.0 km/h | 车道: 2 | 方向: 1 | 桩号: K1123+300.5 | 航向角: 174.58746
非：├─ 车辆轨迹点  carid:12014 | 里程:1123741 | 时间：2025-03-21 22:11:33:963 | 车牌: 鄂E5E6IE (颜色:0) | 坐标: 114.04651641845703,30.90498924255371 | 速度: 56.0 km/h | 车道: 1 | 方向: 1 | 桩号: K1123+741.5 | 航向角: 180.45297
非：├─ 车辆轨迹点  carid:12015 | 里程:1123234 | 时间：2025-03-21 22:11:33:963 | 车牌: 鄂E7G41R (颜色:1) | 坐标: 114.04615020751953,30.9095458984375 | 速度: 46.0 km/h | 车道: 2 | 方向: 1 | 桩号: K1123+234.5 | 航向角: 174.21754
非：├─ 车辆轨迹点  carid:12016 | 里程:1122156 | 时间：2025-03-21 22:11:33:963 | 车牌: 鄂E994F7 (颜色:0) | 坐标: 114.04388427734375,30.928194046020508 | 速度: 43.0 km/h | 车道: 3 | 方向: 2 | 桩号: K1122+156.5 | 航向角: 3.228355
非：├─ 车辆轨迹点  carid:12017 | 里程:1121855 | 时间：2025-03-21 22:11:33:963 | 车牌: 鄂A4VL7M (颜色:2) | 坐标: 114.04417419433594,30.93088150024414 | 速度: 49.0 km/h | 车道: 2 | 方向: 1 | 桩号: K1121+855.5 | 航向角: 9.365883
非：├─ 车辆轨迹点  carid:12018 | 里程:1123265 | 时间：2025-03-21 22:11:33:963 | 车牌: 鄂A8E297 (颜色:0) | 坐标: 114.04618835449219,30.90926742553711 | 速度: 44.0 km/h | 车道: 1 | 方向: 1 | 桩号: K1123+265.5 | 航向角: 174.35661
非：├─ 车辆轨迹点  carid:12020 | 里程:1122915 | 时间：2025-03-21 22:11:33:963 | 车牌: 鄂A99E04 (颜色:1) | 坐标: 114.0444564819336,30.921371459960938 | 速度: 45.0 km/h | 车道: 1 | 方向: 1 | 桩号: K1122+915.5 | 航向角: 173.83449
非：├─ 车辆轨迹点  carid:12021 | 里程:1123039 | 时间：2025-03-21 22:11:33:963 | 车牌: 鄂B525Y0 (颜色:0) | 坐标: 114.04631805419922,30.908161163330078 | 速度: 76.0 km/h | 车道: 2 | 方向: 1 | 桩号: K1123+39 | 航向角: 173.93753
非：├─ 车辆轨迹点  carid:12022 | 里程:1122366 | 时间：2025-03-21 22:11:33:963 | 车牌: 鄂A6DO11 (颜色:0) | 坐标: 114.04387664794922,30.92630386352539 | 速度: 58.0 km/h | 车道: 3 | 方向: 2 | 桩号: K1122+366 | 航向角: 359.1191
非：├─ 车辆轨迹点  carid:12023 | 里程:1121970 | 时间：2025-03-21 22:11:33:963 | 车牌: 鄂AM7920 (颜色:1) | 坐标: 114.04402160644531,30.929855346679688 | 速度: 53.0 km/h | 车道: 2 | 方向: 1 | 桩号: K1121+970 | 航向角: 6.762024
非：├─ 车辆轨迹点  carid:12026 | 里程:1122820 | 时间：2025-03-21 22:11:33:963 | 车牌: 鄂EFC0P3 (颜色:2) | 坐标: 114.0443344116211,30.922225952148438 | 速度: 67.0 km/h | 车道: 1 | 方向: 1 | 桩号: K1122+820 | 航向角: 173.90398
非：├─ 车辆轨迹点  carid:12027 | 里程:1122966 | 时间：2025-03-21 22:11:33:963 | 车牌: 鄂E25B3LW (颜色:4) | 坐标: 114.04451751708984,30.920913696289062 | 速度: 53.0 km/h | 车道: 2 | 方向: 1 | 桩号: K1122+966.5 | 航向角: 173.88646
非：├─ 车辆轨迹点  carid:12028 | 里程:1122447 | 时间：2025-03-21 22:11:33:963 | 车牌: 鄂E9S920 (颜色:0) | 坐标: 114.0439224243164,30.925573348999023 | 速度: 43.0 km/h | 车道: 3 | 方向: 2 | 桩号: K1122+447 | 航向角: 357.43036
非：├─ 车辆轨迹点  carid:12029 | 里程:1122308 | 时间：2025-03-21 22:11:33:963 | 车牌: 鄂A788H3 (颜色:0) | 坐标: 114.04397583007812,30.929338455200195 | 速度: 49.0 km/h | 车道: 4 | 方向: 2 | 桩号: K1122+308.5 | 航向角: 0.052597
非：├─ 车辆轨迹点  carid:12030 | 里程:1123043 | 时间：2025-03-21 22:11:33:963 | 车牌: 鄂E81746 (颜色:0) | 坐标: 114.04635620117188,30.907800674438477 | 速度: 52.0 km/h | 车道: 1 | 方向: 1 | 桩号: K1123+43 | 航向角: 173.9219

===================next news===================
非：├─ 车辆轨迹点  carid:12032 | 里程:1122756 | 时间：2025-03-21 22:11:34:143 | 车牌: 鄂EAB7812 (颜色:4) | 坐标: 114.04425048828125,30.922794342041016 | 速度: 55.0 km/h | 车道: 1 | 方向: 1 | 桩号: K1122+756.5 | 航向角: 173.8937
非：├─ 车辆轨迹点  carid:12033 | 里程:1122838 | 时间：2025-03-21 22:11:34:143 | 车牌: 鄂AN9766 (颜色:0) | 坐标: 114.0439224243164,30.928861618041992 | 速度: 57.0 km/h | 车道: 2 | 方向: 1 | 桩号: K1122+838.5 | 航向角: 173.80869
非：├─ 车辆轨迹点  carid:12034 | 里程:1122524 | 时间：2025-03-21 22:11:34:143 | 车牌: 鄂BS51N5 (颜色:5) | 坐标: 114.04399108886719,30.924875259399414 | 速度: 54.0 km/h | 车道: 3 | 方向: 2 | 桩号: K1122+524.5 | 航向角: 355.98978
非：├─ 车辆轨迹点  carid:12035 | 里程:1122372 | 时间：2025-03-21 22:11:34:143 | 车牌: 鄂EA813K (颜色:0) | 坐标: 114.04387664794922,30.926244735717773 | 速度: 59.0 km/h | 车道: 4 | 方向: 2 | 桩号: K1122+372.5 | 航向角: 358.99097
非：├─ 车辆轨迹点  carid:12038 | 里程:1122213 | 时间：2025-03-21 22:11:34:143 | 车牌: 鄂A6662L (颜色:0) | 坐标: 114.04386138916016,30.927684783935547 | 速度: 47.0 km/h | 车道: 1 | 方向: 1 | 桩号: K1122+213 | 航向角: 173.8713
非：├─ 车辆轨迹点  carid:12039 | 里程:1122507 | 时间：2025-03-21 22:11:34:143 | 车牌: 鄂E8AF67 (颜色:0) | 坐标: 114.04397583007812,30.925031661987305 | 速度: 57.0 km/h | 车道: 2 | 方向: 1 | 桩号: K1122+507 | 航向角: 173.9936
非：├─ 车辆轨迹点  carid:12040 | 里程:1122983 | 时间：2025-03-21 22:11:34:143 | 车牌: 鄂A8YG19 (颜色:5) | 坐标: 114.04454040527344,30.920761108398438 | 速度: 49.0 km/h | 车道: 3 | 方向: 2 | 桩号: K1122+983.5 | 航向角: 353.8861
